"" "gene_symbol"
"FBgn0030816" "CG16700"
"FBgn0004052" "Z600"
"FBgn0262291" "mir-956"
"FBgn0030293" "CG1737"
"FBgn0034095" "CG15701"
"FBgn0003279" "RpL4"
"FBti0060319" ""
"FBgn0028920" "CG8997"
"FBgn0040529" "COX7A"
"FBgn0265533" "CR44383"
"FBti0062604" ""
"FBgn0262815" "CR43186"
"FBgn0040069" "vanin-like"
"FBgn0037591" "Or85c"
"FBtr0304393_df_nrg" ""
"FBgn0265087" "CG44198"
"FBgn0262871" "lute"
"FBgn0000482" "dor"
"FBti0019316" ""
"FBgn0082932" "snoRNA:Me28S-G1083d"
"FBgn0025680" "cry"
"FBgn0052432" "CG32432"
"FBgn0029123" "SoxN"
"FBgn0002933" "ng1"
"FBgn0266359" "asRNA:CR45007"
"FBti0020020" ""
"FBgn0082933" "snoRNA:Me28S-G1083c"
"FBgn0038130" "CG8630"
"FBgn0262999" "CG43307"
"FBgn0031287" "CG4291"
"FBti0019238" ""
"FBgn0264326" "DNApol-epsilon255"
"FBgn0264350" "asRNA:CR43806"
"FBgn0011887" "tRNA:Lys-CTT-1-4"
"FBgn0040398" "CG14629"
"FBgn0034401" "MetRS"
"FBgn0045482" "Gr59b"
"FBgn0023531" "CG32809"
"FBtr0309717_df_nrg" ""
"FBgn0023508" "Ocrl"
"FBgn0266851" "lncRNA:CR45312"
"FBgn0043791" "phu"
"FBgn0262574" "CG43114"
"FBgn0263748" "CG43673"
"FBgn0036367" "CG10116"
"FBgn0032346" "Csl4"
"FBgn0052202" "CG32202"
"FBgn0031696" "Bub1"
"FBgn0033828" "CG17048"
"FBgn0031941" "ATPsynGL"
"FBgn0050104" "NT5E-2"
"FBgn0017414" "cag"
"FBgn0051159" "mRRF2"
"FBti0061442" ""
"FBgn0267378" "sau"
"FBti0062726" ""
"FBti0060744" ""
"FBgn0030653" "CG7860"
"FBti0020147" ""
"FBgn0267279" "asRNA:CR45715"
"FBgn0030563" "betaNACtes2"
"FBgn0053181" "CG33181"
"FBti0062008" ""
"FBti0061267" ""
"FBgn0052681" "CG32681"
"FBgn0263619" "asRNA:ASTR"
"FBgn0037659" "Kdm2"
"FBgn0034127" "CG7848"
"FBti0061235" ""
"FBti0060815" ""
"FBti0063860" ""
"FBgn0027507" "CG1344"
"FBgn0262812" "CG43183"
"FBgn0085521" "CG40813"
"FBgn0083055" "snoRNA:Psi18S-1295"
"FBti0063525" ""
"FBti0061039" ""
"FBgn0026077" "Gasp"
"FBgn0053874" "His2B:CG33874"
"FBgn0054046" "lncRNA:CR34046"
"FBgn0037898" "Dtd"
"FBti0061218" ""
"FBgn0004889" "tws"
"FBti0059717" ""
"FBgn0000018" "abo"
"FBgn0066304" "Rpp20"
"FBgn0033774" "CG12374"
"FBgn0037554" "DNApol-iota"
"FBgn0038011" "CG4066"
"FBtr0472824_df_nrg" ""
"FBgn0027552" "CG10863"
"FBgn0030237" "CG15209"
"FBgn0040996" "CG12617"
"FBgn0000346" "comt"
"FBgn0038043" "CG17202"
"FBti0019521" ""
"FBgn0004414" "msopa"
"FBgn0036896" "wnd"
"FBgn0266853" "lncRNA:CR45314"
"FBgn0032013" "Scgalpha"
"FBgn0004893" "bowl"
"FBgn0000640" "Fbp2"
"FBgn0032321" "YL-1"
"FBgn0039440" "TwdlJ"
"FBgn0039293" "Alg9"
"FBgn0039765" "mRpS18C"
"FBti0019592" ""
"FBgn0058100" "CR40100"
"FBgn0003346" "RanGAP"
"FBti0064173" ""
"FBgn0037329" "POLDIP2"
"FBgn0031536" "Cog3"
"FBtr0309600_df_nrg" ""
"FBgn0000158" "bam"
"FBgn0038519" "Prx3"
"FBgn0036135" "mRpL2"
"FBgn0040068" "Vav"
"FBgn0260011" "NimC4"
"FBgn0265152" "lncRNA:CR44221"
"FBgn0026620" "tacc"
"FBti0019187" ""
"FBti0061022" ""
"FBgn0052380" "SMSr"
"FBgn0037721" "CG9427"
"FBgn0038960" "CG13855"
"FBgn0052278" "CG32278"
"FBgn0039551" "Or98a"
"FBgn0010041" "GstD5"
"FBgn0065088" "snmRNA:641"
"FBgn0267762" "asRNA:CR46093"
"FBgn0262104" "CG42857"
"FBti0062588" ""
"FBgn0041702" "CG15107"
"FBgn0026438" "Eaat2"
"FBgn0265921" "lncRNA:CR44710"
"FBgn0000473" "Cyp6a2"
"FBgn0032908" "CG9270"
"FBgn0027509" "TBCD"
"FBgn0266970" "lncRNA:CR45421"
"FBgn0051356" "tRNA:Thr-TGT-1-1"
"FBgn0267786" "lncRNA:CR46117"
"FBgn0036522" "Phs"
"FBgn0038545" "pasi1"
"FBgn0035571" "CG12493"
"FBgn0264260" "CG43760"
"FBgn0052693" "Gr9a"
"FBgn0052806" "CG32806"
"FBgn0051933" "CG31933"
"FBgn0265185" "CG44250"
"FBti0059696" ""
"FBgn0262736" "Vha16-1"
"FBgn0065094" "snmRNA:419"
"FBgn0032901" "sky"
"FBgn0263967" "asRNA:CR43723"
"FBgn0014865" "Mtk"
"FBgn0053158" "CG33158"
"FBgn0053639" "CG33639"
"FBti0020041" ""
"FBgn0041183" "Tep1"
"FBgn0022213" "Cse1"
"FBgn0265194" "Trpm"
"FBgn0264364" "CG43816"
"FBti0020137" ""
"FBti0020202" ""
"FBgn0019643" "AANAT1"
"FBgn0036440" "CG17177"
"FBgn0034057" "CG8314"
"FBti0061839" ""
"FBgn0030936" "CG6481"
"FBgn0030435" "CG4645"
"FBti0060997" ""
"FBgn0040060" "yip7"
"FBgn0027081" "ThrRS"
"FBgn0085274" "CG34245"
"FBti0060379" ""
"FBgn0266232" "lncRNA:CR44927"
"FBgn0050424" "CG30424"
"FBgn0263521" "mir-4969"
"FBgn0086372" "lap"
"FBti0063053" ""
"FBgn0025676" "CkIIalpha-i3"
"FBti0062815" ""
"FBgn0037368" "CG1239"
"FBti0019089" ""
"FBti0064166" ""
"FBgn0038415" "CG17929"
"FBti0061881" ""
"FBgn0040366" "CG11398"
"FBgn0262166" "calypso"
"FBgn0035137" "CG1233"
"FBgn0039207" "CG5789"
"FBgn0004892" "sob"
"FBgn0036213" "RpL10Ab"
"FBgn0036492" "Best3"
"FBgn0040022" "Set1"
"FBgn0003356" "Jon99Cii"
"FBti0059643" ""
"FBti0060068" ""
"FBgn0266161" "lncRNA:CR44867"
"FBti0059917" ""
"FBgn0000115" "Arl1"
"FBgn0035313" "CG13810"
"FBgn0262890" "CG43245"
"FBgn0086028" "snoRNA:Me28S-G2173"
"FBgn0032297" "CG17124"
"FBgn0036804" "Sgf11"
"FBti0063846" ""
"FBti0064146" ""
"FBgn0263405" "lncRNA:CR43451"
"FBgn0026079" "Nsun2"
"FBgn0044328" "CG32052"
"FBgn0031119" "CG1812"
"FBti0062572" ""
"FBgn0286075" "DNAlig3"
"FBgn0033885" "DJ-1alpha"
"FBgn0267007" "lncRNA:CR45451"
"FBtr0304193_df_nrg" ""
"FBti0060927" ""
"FBti0019683" ""
"FBgn0035000" "CG13578"
"FBgn0259791" "bora"
"FBgn0086677" "jeb"
"FBgn0003060" "CG9757"
"FBgn0029882" "CG3226"
"FBti0019993" ""
"FBgn0286506" "Mpi"
"FBgn0033901" "O-fut1"
"FBgn0037203" "slif"
"FBgn0003118" "pnt"
"FBgn0263410" "lncRNA:CR43456"
"FBgn0033926" "Arc1"
"FBgn0019936" "RpS20"
"FBgn0260767" "CG42565"
"FBti0060254" ""
"FBti0019318" ""
"FBgn0085569" "CG41242"
"FBgn0086908" "egg"
"FBgn0034906" "CG13561"
"FBgn0053664" "CG33664"
"FBti0062820" ""
"FBti0059690" ""
"FBti0063754" ""
"FBgn0053400" "5SrRNA:CR33400"
"FBti0060210" ""
"FBgn0028981" "tRNA:Ser-CGA-1-4"
"FBti0063303" ""
"FBti0060315" ""
"FBti0061857" ""
"FBgn0051015" "PH4alphaPV"
"FBti0063977" ""
"FBgn0265596" "lncRNA:CR44423"
"FBgn0038961" "CG13850"
"FBti0019583" ""
"FBgn0024897" "b6"
"FBgn0259152" "Clbn"
"FBgn0286932" "CG46429"
"FBtr0304403_df_nrg" ""
"FBgn0264866" "lncRNA:CR44057"
"FBgn0010747" "Srp54k"
"FBgn0024980" "Syx4"
"FBgn0263522" "mir-4982"
"FBgn0034614" "CG9752"
"FBti0019349" ""
"FBti0062717" ""
"FBgn0033784" "SCCRO3"
"FBgn0038473" "Ns1"
"FBgn0053977" "CG33977"
"FBgn0030292" "CG11752"
"FBgn0026418" "Hsc70Cb"
"FBgn0035238" "CG12104"
"FBti0063663" ""
"FBgn0003938" "snRNA:U5:63BC"
"FBgn0261574" "kug"
"FBti0064263" ""
"FBgn0024326" "Mkk4"
"FBgn0038005" "Cyp313a5"
"FBgn0003751" "trk"
"FBgn0263633" "mir-3644"
"FBgn0031589" "Naprt"
"FBgn0029508" "Tsp42Ea"
"FBgn0052333" "CG32333"
"FBgn0042134" "Capr"
"FBgn0266790" "lncRNA:CR45255"
"FBgn0034820" "CG13538"
"FBgn0284251" "l(2)05287"
"FBgn0062449" "CG13197"
"FBgn0003074" "Pgi"
"FBgn0024956" "Mat1"
"FBti0060480" ""
"FBgn0053428" "5SrRNA:CR33428"
"FBgn0030676" "CG12379"
"FBgn0266443" "CG45073"
"FBti0019239" ""
"FBgn0265253" "asRNA:CR44267"
"FBgn0036610" "CG13058"
"FBgn0026602" "Ady43A"
"FBti0062942" ""
"FBgn0262317" "mir-966"
"FBgn0037876" "CG4820"
"FBgn0035160" "hng3"
"FBgn0266927" "lncRNA:CR45378"
"FBti0063470" ""
"FBgn0038986" "sit"
"FBti0019382" ""
"FBgn0031930" "CG7025"
"RR48311_transposable_element" ""
"FBgn0286933" "CG46430"
"FBgn0033802" "CG17724"
"FBgn0021995" "Rs1"
"FBti0020075" ""
"FBti0019839" ""
"FBgn0267749" "lncRNA:CR46080"
"FBti0063163" ""
"FBgn0265362" "CG44303"
"FBgn0039239" "CG13641"
"FBgn0003744" "trc"
"FBgn0014368" "nol"
"FBti0063655" ""
"FBgn0261822" "Bsg"
"FBgn0014857" "His3.3A"
"FBti0061591" ""
"FBgn0265204" "lncRNA:CR44264"
"FBgn0037140" "SLC22A"
"FBgn0051669" "tRNA:Gln-CTG-2-5"
"FBgn0039238" "CG7016"
"FBgn0010295" "ng3"
"FBgn0036389" "ssp2"
"FBgn0034122" "CG15711"
"FBti0061877" ""
"FBgn0264382" "lncRNA:CR43834"
"FBti0019868" ""
"FBgn0024945" "NitFhit"
"FBgn0035333" "CG1317"
"FBgn0261456" "hpo"
"FBgn0267242" "asRNA:CR45682"
"FBgn0002789" "Mp20"
"FBti0060908" ""
"FBgn0034132" "S-Lap8"
"FBgn0034863" "SkpF"
"FBgn0051163" "SKIP"
"FBgn0263079" "CG43338"
"FBgn0264265" "lncRNA:CR43765"
"FBti0062209" ""
"FBgn0005593" "RpL7"
"FBti0064300" ""
"FBgn0267861" "Maf1"
"FBgn0033893" "CG18371"
"FBti0063631" ""
"FBgn0263992" "asRNA:CR43735"
"FBgn0039088" "CG10164"
"FBti0059719" ""
"FBti0019379" ""
"FBgn0037347" "SecS"
"FBgn0260467" "CG7071"
"FBgn0265626" "CG44434"
"FBgn0032054" "Uba4"
"FBgn0263120" "Acsl"
"FBgn0029957" "CG12155"
"FBgn0035915" "S-Lap1"
"FBti0061637" ""
"FBgn0053817" "His2A:CG33817"
"FBgn0030569" "CG9411"
"FBti0062305" ""
"FBgn0028518" "CG18480"
"FBti0019069" ""
"FBgn0038301" "CG6654"
"FBti0060829" ""
"FBgn0086058" "snoRNA:Me18S-G1189"
"FBgn0043070" "MESK2"
"FBgn0029944" "Dok"
"FBgn0033124" "Tsp42Ec"
"FBgn0263219" "Dscam4"
"FBti0019272" ""
"FBgn0053267" "CG33267"
"FBgn0038499" "Brf"
"FBgn0050254" "tRNA:Arg-TCT-1-1"
"FBgn0023180" "Orc6"
"FBgn0265366" "lncRNA:CR44307"
"FBgn0038808" "Srp14"
"FBgn0053348" "CheB42a"
"FBgn0053113" "Rtnl1"
"FBgn0010379" "Akt1"
"FBgn0264791" "asRNA:CR44021"
"FBgn0085244" "CG34215"
"FBti0063930" ""
"FBgn0051569" "tRNA:Ala-AGC-2-5"
"FBgn0034069" "CG8401"
"FBgn0087007" "bbg"
"FBgn0027609" "morgue"
"FBgn0042129" "OS9"
"FBgn0041238" "Gr58b"
"FBgn0267054" "CR45498"
"FBgn0029643" "CG14420"
"FBgn0265089" "eIF4E3"
"FBti0062303" ""
"FBgn0064237" "Idgf5"
"FBgn0040508" "ACXC"
"FBgn0053725" "CG33725"
"FBti0063624" ""
"FBgn0038656" "CG14294"
"FBgn0030359" "CG18130"
"FBgn0036512" "CG16979"
"FBgn0267017" "lncRNA:CR45461"
"FBgn0032554" "CG15278"
"RR43375_transposable_element" ""
"FBgn0262811" "CG43182"
"FBgn0035181" "CG9205"
"FBgn0039915" "Gat"
"FBgn0031770" "CG13995"
"FBti0060681" ""
"FBti0019862" ""
"FBgn0259239" "CG42337"
"FBti0062680" ""
"FBgn0028494" "CG6424"
"FBgn0033983" "ADPS"
"FBgn0025626" "CG4281"
"FBti0020225" ""
"FBgn0044323" "Cka"
"FBgn0039668" "Trc8"
"FBgn0003916" "snRNA:U1:21D"
"FBgn0031739" "CG14005"
"FBgn0039728" "CG7896"
"FBgn0264982" "lncRNA:CR44133"
"FBgn0034083" "lbk"
"FBgn0029801" "CG15771"
"FBti0060607" ""
"FBgn0030259" "CG1545"
"FBgn0266699" "asRNA:CR45189"
"FBgn0033482" "CG1371"
"FBgn0038715" "CG7333"
"FBgn0262426" "mir-283"
"FBgn0030015" "CG10761"
"FBti0062166" ""
"FBgn0037059" "CG10510"
"FBti0059868" ""
"FBgn0287589" "CG46459"
"FBti0062731" ""
"FBgn0031032" "CG14204"
"FBgn0051518" "tRNA:Gly-TCC-1-4"
"FBgn0053509" "CG33509"
"FBgn0041712" "yellow-d"
"FBti0019450" ""
"FBgn0262442" "mir-2501"
"FBgn0003719" "tld"
"FBgn0039069" "CG6763"
"FBgn0041604" "dlp"
"FBgn0037150" "CG7133"
"FBgn0029812" "Prosbeta2R1"
"FBti0102106" ""
"FBgn0039354" "Lgr3"
"RR48307_transposable_element" ""
"FBgn0015509" "Cul1"
"FBtr0309636_df_nrg" ""
"FBti0063002" ""
"FBgn0000535" "eag"
"FBti0063821" ""
"FBgn0267728" "otk2"
"FBgn0037577" "CG7443"
"FBgn0033599" "CG13223"
"FBgn0052698" "CARPB"
"FBgn0286038" "sisRNA:CR46360"
"FBti0063250" ""
"FBgn0051122" "CG31122"
"FBti0064012" ""
"FBgn0259710" "CG42364"
"FBti0061801" ""
"FBti0059830" ""
"FBti0061128" ""
"FBgn0085789" "CR41506"
"FBgn0261458" "capt"
"FBgn0250791" "alphaSnap"
"FBgn0050232" "tRNA:Ala-TGC-1-1"
"FBgn0264708" "lncRNA:CR43977"
"FBti0062664" ""
"FBgn0036150" "Ir68a"
"FBgn0262513" "Vha16-4"
"FBgn0036196" "CG11658"
"FBgn0036781" "CG13699"
"FBgn0029657" "CG12535"
"FBti0018960" ""
"FBtr0304503_df_nrg" ""
"FBgn0031431" "CG3515"
"FBgn0267136" "lncRNA:CR45576"
"FBti0063457" ""
"FBgn0052521" "CG32521"
"FBgn0267478" "asRNA:CR45828"
"FBgn0283712" "LIMK1"
"FBgn0033428" "Urod"
"FBgn0267572" "asRNA:CR45912"
"FBgn0037529" "mRpS9"
"FBgn0267811" "asRNA:CR46136"
"FBgn0037234" "CG9795"
"FBti0018949" ""
"FBgn0266621" "lncRNA:CR45128"
"FBgn0263002" "CR43310"
"FBgn0264983" "asRNA:CR44134"
"FBgn0035753" "RpL18"
"FBgn0265267" "CG18258"
"FBgn0033481" "CG12920"
"FBgn0033740" "dgt5"
"FBgn0038903" "RpI12"
"FBgn0052666" "Drak"
"FBti0060093" ""
"FBgn0028909" "tRNA:Gln-CTG-4-1"
"FBti0060851" ""
"FBti0062683" ""
"FBgn0287234" "slf"
"FBgn0261837" "pre-mod(mdg4)-T"
"FBgn0023523" "Or2a"
"FBtr0304477_df_nrg" ""
"FBgn0027052" "STUB1"
"FBti0063868" ""
"FBgn0023496" "Lip1"
"FBgn0029943" "Atg5"
"FBgn0033389" "Rad51D"
"FBgn0032489" "CG15480"
"FBgn0037397" "CR1075"
"FBgn0267198" "lncRNA:CR45638"
"FBgn0265445" "lncRNA:CR44345"
"FBti0018911" ""
"FBgn0014189" "Hel25E"
"FBgn0003048" "pcx"
"FBgn0052533" "CG32533"
"FBgn0286976" "Osi10a"
"FBti0019486" ""
"FBti0102115" ""
"FBti0019432" ""
"FBgn0053203" "CG33203"
"FBgn0050299" "tRNA:Thr-AGT-1-2"
"FBgn0027083" "MetRS-m"
"FBgn0038927" "CG6015"
"FBgn0029831" "CG5966"
"FBti0062250" ""
"FBti0020311" ""
"FBgn0031220" "CG4822"
"FBgn0051077" "CG31077"
"FBti0020430" ""
"FBgn0264374" "lncRNA:CR43826"
"FBti0062049" ""
"FBti0061883" ""
"FBtr0309678_df_nrg" ""
"FBgn0050363" "cola"
"FBgn0032362" "spz4"
"FBti0019513" ""
"FBti0063006" ""
"FBgn0034270" "PIG-A"
"FBgn0031159" "CG11566"
"FBti0061037" ""
"FBti0059852" ""
"FBti0062480" ""
"FBtr0309705_df_nrg" ""
"FBgn0052536" "CG32536"
"FBgn0034204" "CG10953"
"FBti0061359" ""
"FBgn0267183" "asRNA:CR45623"
"FBti0063001" ""
"FBgn0050222" "CG30222"
"FBti0019977" ""
"FBgn0261680" "CG42727"
"FBgn0039304" "CG10425"
"FBti0019243" ""
"FBgn0037413" "Osi5"
"FBgn0041188" "Atx2"
"FBti0063583" ""
"FBti0059849" ""
"FBti0063084" ""
"FBgn0086035" "snoRNA:Me18S-G642"
"FBgn0030985" "Obp18a"
"FBgn0010222" "Nmdmc"
"FBgn0036285" "toe"
"FBgn0011961" "tRNA:Arg-ACG-1-8"
"FBgn0029946" "CG15034"
"FBgn0034761" "CG4250"
"FBgn0011883" "tRNA:Ile-AAT-1-5"
"FBgn0051560" "CG31560"
"FBgn0264515" "lncRNA:CR43914"
"FBgn0085736" "CG40472"
"FBgn0037084" "Syx6"
"FBgn0000412" "D1"
"FBgn0260720" "asRNA:CR42547"
"RR50204_transposable_element" ""
"FBti0061629" ""
"FBgn0032798" "CG10132"
"FBgn0034792" "YME1L"
"FBgn0260744" "Tango9"
"FBti0060843" ""
"FBgn0267029" "lncRNA:CR45473"
"FBti0060466" ""
"FBti0061912" ""
"FBti0019170" ""
"FBgn0041181" "Tep3"
"FBgn0016754" "sba"
"FBti0060876" ""
"FBgn0266261" "CG44956"
"FBti0059676" ""
"FBgn0263777" "CG43694"
"FBgn0033742" "Nepl10"
"FBgn0046880" "Obp56b"
"FBgn0038296" "CG6752"
"FBgn0032234" "gny"
"FBgn0052371" "CG32371"
"FBti0060939" ""
"FBgn0267120" "lncRNA:CR45560"
"FBgn0266204" "lncRNA:CR44899"
"FBgn0034865" "Or59b"
"FBgn0265450" "lncRNA:CR44350"
"FBgn0033473" "CG12128"
"FBgn0264598" "PsGEF"
"FBgn0267246" "asRNA:CR45686"
"FBgn0038834" "RpS30"
"FBgn0011225" "jar"
"FBgn0030721" "CG12698"
"FBgn0265746" "lncRNA:CR44553"
"FBti0062058" ""
"FBgn0267310" "lncRNA:CR45746"
"FBti0060462" ""
"FBti0060768" ""
"FBgn0030049" "Trf4-1"
"FBgn0016726" "RpL29"
"FBgn0033705" "CG13168"
"FBgn0015299" "Ssb-c31a"
"FBti0064123" ""
"FBgn0010213" "Sod2"
"FBgn0265381" "lncRNA:CR44322"
"FBgn0002891" "DNApol-zeta"
"FBgn0052068" "Adi1"
"FBgn0052544" "CG32544"
"FBgn0035148" "CG3402"
"FBgn0031874" "CG13775"
"FBgn0050374" "CR30374"
"FBgn0033521" "CG12896"
"FBti0060296" ""
"FBgn0030701" "CG16952"
"FBgn0000014" "abd-A"
"FBti0060435" ""
"FBgn0086680" "vvl"
"FBgn0267886" "CR46174"
"FBti0018869" ""
"FBgn0035686" "Cpr65Az"
"FBgn0035554" "CG13721"
"FBti0059873" ""
"FBgn0032465" "Yip1d1"
"FBti0062326" ""
"FBgn0266627" "asRNA:CR45134"
"FBgn0263040" "CG43335"
"FBgn0038161" "CG9269"
"FBgn0053986" "CG33986"
"FBgn0032350" "CG6287"
"FBti0061903" ""
"FBgn0030544" "CG13403"
"FBgn0263556" "mir-4940"
"FBgn0031955" "CG14535"
"FBgn0262992" "lncRNA:CR43300"
"FBgn0266088" "lncRNA:CR44830"
"FBgn0286732" "snoRNA:Or-CD14"
"FBgn0263051" "CG43346"
"FBti0062322" ""
"FBgn0031850" "Tsp"
"FBgn0001235" "hth"
"FBgn0038274" "Nup93-2"
"FBti0062592" ""
"FBti0064007" ""
"FBgn0033341" "MrgBP"
"FBgn0085194" "CG34165"
"FBgn0032249" "TBC1D16"
"FBgn0031443" "Prosbeta4R2"
"FBti0018891" ""
"FBgn0264435" "lncRNA:CR43853"
"FBgn0003683" "term"
"FBgn0262844" "CG43208"
"FBgn0024889" "Kap-alpha1"
"FBti0019671" ""
"FBgn0265638" "lncRNA:CR44445"
"FBtr0309622_df_nrg" ""
"FBgn0034786" "CG13531"
"FBgn0040660" "CG13551"
"FBgn0085302" "CG34273"
"FBti0019212" ""
"FBgn0051910" "CG31910"
"FBgn0286883" "CR46405"
"FBgn0039761" "CG18404"
"FBti0063614" ""
"FBgn0267988" "asRNA:CR46255"
"FBgn0042173" "CG18853"
"FBgn0017448" "CG2187"
"FBti0063098" ""
"FBgn0267230" "lncRNA:CR45670"
"FBgn0039868" "CG11563"
"FBgn0039425" "Ald2"
"RR43685_transposable_element" ""
"FBgn0039485" "CG17189"
"FBgn0036560" "CG5895"
"FBgn0287616" "asRNA:CR46485"
"FBgn0039641" "CG14511"
"FBgn0005633" "fln"
"FBgn0015663" "Ugt36A1"
"FBgn0036110" "Cpr67Fb"
"FBti0019045" ""
"FBgn0053723" "CG33723"
"FBgn0265414" "lncRNA:CR44326"
"FBgn0012058" "Cdc27"
"FBti0019614" ""
"FBgn0033032" "kune"
"FBgn0250832" "Dup99B"
"FBgn0001313" "kl-2"
"FBgn0037051" "CG10565"
"FBgn0038105" "yellow-f2"
"FBgn0036142" "Adck5"
"FBgn0029909" "mAChR-C"
"FBgn0031161" "CG15445"
"FBgn0034538" "CG16799"
"FBgn0035943" "CG5653"
"FBgn0263588" "lncRNA:CR43613"
"FBgn0262371" "mir-263b"
"FBti0060002" ""
"FBgn0000146" "aub"
"FBgn0033953" "CG12861"
"FBti0060287" ""
"FBgn0038072" "CG6225"
"FBtr0304502_df_nrg" ""
"FBti0060187" ""
"FBti0062686" ""
"FBgn0034275" "CG5002"
"FBgn0035944" "CG5021"
"FBgn0032252" "loh"
"FBgn0013709" "mt:tRNA:Trp-TCA"
"FBgn0024728" "Slip1"
"FBgn0035806" "PGRP-SD"
"FBgn0031343" "CG18131"
"FBgn0016977" "spen"
"FBti0019151" ""
"FBgn0034663" "CG4363"
"FBgn0026598" "Apc2"
"FBgn0267557" "lncRNA:CR45897"
"FBti0060393" ""
"FBti0062937" ""
"FBti0060819" ""
"FBgn0038008" "CG3942"
"FBti0062795" ""
"FBgn0038674" "CG14285"
"FBti0019634" ""
"FBgn0266841" "lncRNA:CR45303"
"FBgn0036714" "CG7692"
"FBgn0262821" "CG43192"
"FBgn0002922" "nau"
"FBgn0267376" "SelR"
"FBti0019275" ""
"FBgn0035006" "CG4563"
"FBgn0032818" "CG10628"
"FBgn0261963" "mid"
"FBti0063819" ""
"FBgn0040496" "CG17104"
"FBgn0035592" "CG10674"
"FBti0061630" ""
"FBgn0003267" "ro"
"FBti0064202" ""
"FBgn0085343" "Sws1"
"FBgn0267238" "lncRNA:CR45678"
"FBgn0014849" "Eig71Ei"
"FBgn0053798" "CG33798"
"FBgn0052473" "CG32473"
"FBgn0051619" "nolo"
"FBgn0036278" "CrzR"
"FBgn0030035" "PIG-T"
"FBgn0031183" "CG14621"
"FBgn0033271" "CG8708"
"FBgn0286813" "SRPK"
"FBgn0267800" "lncRNA:CR46125"
"FBgn0037526" "ArgRS-m"
"FBgn0265346" "lncRNA:CR44300"
"FBgn0086661" "snoRNA:Psi28S-2566"
"FBti0063976" ""
"FBgn0040637" "CG11458"
"FBgn0262816" "CG43187"
"FBgn0025742" "mtm"
"FBti0059736" ""
"FBgn0031407" "CG4270"
"FBgn0004428" "LysE"
"FBgn0036920" "CG8004"
"FBgn0036183" "CG6083"
"FBgn0039450" "Yif1"
"FBgn0025185" "az2"
"FBgn0250908" "beat-VII"
"FBgn0036078" "Or67c"
"FBgn0032840" "sNPF"
"FBgn0267217" "lncRNA:CR45657"
"FBti0064296" ""
"FBgn0052786" "Gem4b"
"FBgn0035245" "GC"
"FBgn0029977" "hdm"
"FBgn0266749" "lncRNA:CR45222"
"FBgn0286925" "CR46422"
"FBgn0003888" "betaTub60D"
"FBgn0083007" "snoRNA:Psi28S-1135f"
"FBgn0053392" "5SrRNA:CR33392"
"FBgn0264833" "lncRNA:CR44041"
"FBti0061214" ""
"FBgn0286870" "lncRNA:enrr"
"FBgn0037023" "CG3698"
"FBti0019115" ""
"FBgn0267559" "lncRNA:CR45899"
"FBgn0038819" "Cpr92F"
"FBti0061171" ""
"FBgn0265078" "lncRNA:CR44189"
"FBgn0010280" "Taf4"
"FBgn0032633" "Lrch"
"FBgn0030071" "CG12661"
"FBgn0264693" "ens"
"FBgn0085318" "CG34289"
"FBgn0031247" "CG11562"
"FBti0020114" ""
"FBti0060660" ""
"FBgn0267586" "asRNA:CR45924"
"FBgn0267910" "lncRNA:CR34335"
"FBgn0052651" "CG32651"
"FBgn0053465" "CG33465"
"FBti0020423" ""
"FBgn0035166" "JMJD5"
"FBgn0063376" "snoRNA:U76:54Eb"
"FBgn0267064" "lncRNA:CR45508"
"FBgn0035851" "MED24"
"FBgn0264857" "lncRNA:iab8"
"FBtr0304480_df_nrg" ""
"FBgn0267098" "asRNA:CR45538"
"FBgn0010078" "RpL23"
"FBgn0036394" "CG9040"
"FBgn0004636" "Rap1"
"FBgn0267606" "asRNA:CR45944"
"FBgn0039319" "CG13659"
"FBgn0004629" "Cys"
"FBgn0032886" "CG9328"
"FBgn0038951" "CG5380"
"FBgn0038564" "CG7785"
"FBgn0053143" "CG33143"
"FBgn0051044" "lncRNA:CR31044"
"FBgn0267531" "asRNA:CR45871"
"FBgn0038789" "Ir92a"
"FBgn0267905" "CG46193"
"FBgn0036808" "Dic4"
"FBgn0085341" "CG34312"
"FBgn0040336" "Seipin"
"FBgn0267181" "asRNA:CR45621"
"FBgn0036518" "RhoGAP71E"
"FBgn0267796" "Tmc"
"FBgn0031292" "CG15824"
"FBgn0043012" "AP-2sigma"
"FBtr0445448_df_nrg" ""
"FBgn0038892" "CG15498"
"FBgn0266807" "lncRNA:CR45269"
"FBgn0031460" "CG15399"
"FBgn0045843" "RacGAP84C"
"FBti0019413" ""
"FBgn0031337" "CG14346"
"FBgn0267150" "lncRNA:CR45590"
"FBgn0030654" "CG15643"
"FBgn0000618" "e(y)2"
"FBgn0046874" "Pif1B"
"FBgn0026083" "tyf"
"FBti0060950" ""
"FBgn0051288" "CG31288"
"FBgn0265877" "CG44666"
"FBti0059801" ""
"FBgn0284409" "lncRNA:TS1"
"FBgn0262990" "lncRNA:CR43298"
"FBgn0051809" "CG31809"
"FBgn0262870" "axo"
"FBgn0263869" "lncRNA:CR43716"
"FBgn0030657" "cerv"
"FBti0020436" ""
"FBgn0038160" "CG9759"
"FBgn0265544" "CR44394"
"FBti0060452" ""
"FBti0060327" ""
"FBgn0265841" "lncRNA:CR44630"
"FBgn0030366" "Usp7"
